cluster,CellMarker2.0,genes,score,tissue
16,Proliferative cell,"STMN1,KIAA0101,ZWINT,TYMS,TOP2A,TK1,MKI67,CDK1,CLSPN,MCM7,RRM2,PCNA,NUSAP1,UBE2C,ASF1B,GINS2,CENPU,FEN1,TUBA1B,GTSE1",1,blood
16,Proliferative progenitor cell,"STMN1,KIAA0101,ZWINT,TYMS,TOP2A,TK1,MKI67,CDK1,CLSPN,MCM7,RRM2,PCNA,NUSAP1,UBE2C,ASF1B,GINS2,CENPU,FEN1,TUBA1B,GTSE1",1,intestine
17,Transitional memory T cell,"FOXP3,TNFRSF4,CD27,TNFRSF18,CTLA4,CREM,CTSC,CORO1B,LAIR2,IL2RA,LTA,BATF,IFITM1,ITGB2",1,blood
17,Swithced memory B cell (Sw MB),"FOXP3,TNFRSF4,CD27,TNFRSF18,CTLA4,CREM,CTSC,CORO1B,LAIR2,IL2RA,LTA,BATF,IFITM1,ITGB2",0.5,blood
17,Plasmablast,"FOXP3,TNFRSF4,CD27,TNFRSF18,CTLA4,CREM,CTSC,CORO1B,LAIR2,IL2RA,LTA,BATF,IFITM1,ITGB2",1,intestine
18,Pan-macrophage,"CST3,MPEG1,HLA-DRA,LYZ,CD68,CYBB,RNASE6,HLA-DQA1,MEF2C,TYROBP,HLA-DQB1,MARCH1,CPVL,CD36,HLA-DRB1,LILRB4,MS4A6A,DNASE1L3,FCER1G,SPI1",1,blood
18,monocyte progenitor cell,"CST3,MPEG1,HLA-DRA,LYZ,CD68,CYBB,RNASE6,HLA-DQA1,MEF2C,TYROBP,HLA-DQB1,MARCH1,CPVL,CD36,HLA-DRB1,LILRB4,MS4A6A,DNASE1L3,FCER1G,SPI1",0.3,blood
18,Paneth cell,"CST3,MPEG1,HLA-DRA,LYZ,CD68,CYBB,RNASE6,HLA-DQA1,MEF2C,TYROBP,HLA-DQB1,MARCH1,CPVL,CD36,HLA-DRB1,LILRB4,MS4A6A,DNASE1L3,FCER1G,SPI1",0.5,intestine
19,Malignant cell,"PHGR1,C19orf33,SMIM22,FABP2,KRT8,IFI27,TSPAN8,LGALS4,ADIRF,PRAP1,FXYD3,SMIM24,ALDOB,KRT18,TMEM54,EPCAM,UGT2A3,MAOA,ANPEP,KRT20",0.5,blood
19,Epithelial cell,"PHGR1,C19orf33,SMIM22,FABP2,KRT8,IFI27,TSPAN8,LGALS4,ADIRF,PRAP1,FXYD3,SMIM24,ALDOB,KRT18,TMEM54,EPCAM,UGT2A3,MAOA,ANPEP,KRT20",0.3,blood
19,Enterocyte,"PHGR1,C19orf33,SMIM22,FABP2,KRT8,IFI27,TSPAN8,LGALS4,ADIRF,PRAP1,FXYD3,SMIM24,ALDOB,KRT18,TMEM54,EPCAM,UGT2A3,MAOA,ANPEP,KRT20",0.33,intestine
