"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
3.03353023643101e-57,0.31011554837684,0.676,0.583,5.98758198066752e-53,3,"SRSF3"
7.55590949050955e-57,0.870563601350853,0.142,0.078,1.49138541523677e-52,3,"ADAM19"
2.67256455142602e-56,0.269141699309983,0.512,0.407,5.27510791160468e-52,3,"SAMSN1"
6.54812492689339e-56,0.921284042828856,0.111,0.055,1.29246889807022e-51,3,"ARHGAP5"
7.18903115415024e-56,0.379247097272628,0.403,0.303,1.41897096920617e-51,3,"FKBP11"
1.4185872860912e-55,0.511130448067191,0.318,0.225,2.80000758528681e-51,3,"EEF1G"
3.31955142120808e-55,0.477403678465075,0.305,0.214,6.5521305951805e-51,3,"PMAIP1"
7.12210124270468e-55,0.513601211302483,0.326,0.236,1.40576034328505e-50,3,"EIF5A"
8.43565880706012e-55,0.405963707330417,0.489,0.389,1.66503033533753e-50,3,"DNAJA1"
1.37435536821009e-54,0.283836460373066,0.525,0.42,2.71270262577307e-50,3,"ARF6"
3.23557725584834e-54,0.941308585844336,0.128,0.07,6.38638238759345e-50,3,"DNAAF2"
5.06761585610573e-54,0.699194060985875,0.203,0.129,1.00024601767815e-49,3,"INTS6"
6.21728406589746e-54,0.813065014202022,0.158,0.092,1.22716752892684e-49,3,"WHAMM"
7.81946014606345e-54,0.517073688432153,0.34,0.247,1.54340504363e-49,3,"CITED2"
2.19786272949752e-53,0.795367600572868,0.18,0.111,4.33814145548221e-49,3,"TMEM107"
1.76381171684874e-52,0.772540483921135,0.153,0.089,3.48141156671604e-48,3,"LYSMD2"
2.2638725798298e-52,0.744808946941696,0.169,0.101,4.46843169806806e-48,3,"DUSP5"
2.52842959066015e-52,0.474813598686028,0.34,0.249,4.990614326045e-48,3,"CAST"
5.59667040653044e-52,0.480980459568029,0.3,0.212,1.10467080484098e-47,3,"CAMK4"
9.03328202888547e-52,0.543367507090618,0.262,0.179,1.78298920686141e-47,3,"CCSER2"
1.15183935108496e-51,1.00606282185195,0.105,0.054,2.2735005111715e-47,3,"CDC14A"
