"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
8.36412871572768e-21,0.633282692275211,0.233,0.156,1.65091172591033e-16,0,"ZNF800"
2.66679745475108e-20,0.666550975542193,0.188,0.118,5.26372481618767e-16,0,"ATF7IP2"
3.2749833169802e-20,0.823284671558929,0.138,0.079,6.46416207105552e-16,0,"HIC1"
3.36246117785832e-20,0.832817323540007,0.159,0.099,6.63682587285675e-16,0,"SKIL"
3.62369701891564e-20,0.299682466590173,0.602,0.511,7.15245317593568e-16,0,"LCP1"
4.87681981638182e-20,0.481524589460609,0.315,0.229,9.62586695357443e-16,0,"CAMK4"
6.65372177929366e-20,0.329194673879204,0.539,0.442,1.31331160479698e-15,0,"MCL1"
8.75346784938851e-20,0.341451290660846,0.54,0.446,1.7277594841123e-15,0,"TNRC6B"
1.6340721167095e-19,0.522134830138093,0.279,0.198,3.22533154396122e-15,0,"BCL2"
1.76099996911267e-19,0.582941933424374,0.239,0.163,3.4758617390346e-15,0,"GRK6"
1.95442484771874e-19,0.86479457550541,0.115,0.062,3.85764376442724e-15,0,"NFKB2"
2.30062652147254e-19,0.48769756314535,0.326,0.241,4.5409766280825e-15,0,"LNPEP"
2.31736437697477e-19,0.425934152740048,0.262,0.184,4.5740138072728e-15,0,"CCDC109B"
4.17764201819664e-19,0.583072914686695,0.131,0.078,8.24582981551653e-15,0,"F2R"
4.36068685228746e-19,0.291622003915909,0.623,0.539,8.60712370904499e-15,0,"SEPT6"
4.87036776333558e-19,0.503692376876556,0.326,0.245,9.61313189127177e-15,0,"SSBP4"
5.15728179864051e-19,0.431357184811115,0.365,0.276,1.01794428141566e-14,0,"TTC3"
6.36859551514218e-19,0.563463777259706,0.272,0.196,1.25703338277876e-14,0,"PPP3CA"
7.27543930125399e-19,0.891077990932057,0.107,0.057,1.43602620928151e-14,0,"FLVCR1"
1.41517482971551e-18,0.31374871599557,0.581,0.492,2.79327207889247e-14,0,"TRAF3IP3"
1.48915389510914e-18,0.37156805519448,0.477,0.388,2.93929195816643e-14,0,"NKTR"
1.74855503561738e-18,0.726991457434066,0.138,0.081,3.45129792930158e-14,0,"MYBL1"
2.28172445395152e-18,0.5990184113133,0.206,0.137,4.50366772720952e-14,0,"TNFSF14"
2.44339091535303e-18,0.501807451035233,0.292,0.213,4.82276498872382e-14,0,"MLLT6"
3.17890689482046e-18,0.33104922681008,0.482,0.39,6.27452642899662e-14,0,"JUND"
3.37923296844381e-18,0.491233177359803,0.301,0.222,6.66993003311439e-14,0,"GRAMD1A"
6.789898257675e-18,0.372214914238022,0.476,0.389,1.34019011809989e-13,0,"AES"
8.2289988854791e-18,0.292422937308084,0.658,0.589,1.62423980001587e-13,0,"PCBP2"
9.60498986694012e-18,0.436722463934688,0.165,0.108,1.89583289993664e-13,0,"APBA2"
9.83317301863319e-18,0.339331327047354,0.517,0.438,1.94087169041782e-13,0,"SBDS"
1.06280120931577e-17,0.373764778059295,0.439,0.356,2.09775702694746e-13,0,"SF3B1"
1.66099600090196e-17,0.848978606211643,0.119,0.067,3.27847390658029e-13,0,"ZNF267"
1.7873178325306e-17,0.792966647352762,0.148,0.093,3.5278079378489e-13,0,"CD244"
2.04979721540238e-17,0.389499603014721,0.426,0.346,4.04588974376122e-13,0,"ANXA11"
2.62059943368999e-17,0.657087364982532,0.175,0.112,5.1725391622173e-13,0,"SLC16A7"
2.70861102109639e-17,0.600050329234219,0.199,0.133,5.34625643344005e-13,0,"NUDT4"
3.73583489633174e-17,0.359073852728105,0.392,0.305,7.37379091837959e-13,0,"ATP1A1"
5.55260121489122e-17,0.877703687880482,0.111,0.062,1.09597242779523e-12,0,"SOS1"
5.59636567091059e-17,0.6043798776814,0.219,0.152,1.10461065612433e-12,0,"CREBZF"
6.35987098682601e-17,0.399287221037209,0.352,0.269,1.25531133537972e-12,0,"SDF4"
8.22630788242653e-17,0.547628515529584,0.229,0.159,1.62370864983335e-12,0,"CFAP97"
9.27488412039109e-17,0.605917743723611,0.157,0.099,1.83067662768279e-12,0,"FURIN"
1.03735409303748e-16,0.479615861725807,0.26,0.186,2.04752950883738e-12,0,"EPS15"
1.13508953086272e-16,0.373425593647886,0.385,0.3,2.24043971601683e-12,0,"RASAL3"
1.1389073052519e-16,0.502416911392345,0.254,0.181,2.24797523910619e-12,0,"YWHAH"
1.6789019817531e-16,0.68437655590261,0.154,0.097,3.31381673158427e-12,0,"RNF168"
1.83755817803456e-16,0.399550818312109,0.39,0.311,3.62697233180462e-12,0,"KRT10"
1.90785477451249e-16,0.368293777954062,0.327,0.247,3.76572375393274e-12,0,"PSIP1"
2.09003297404528e-16,0.724668821484318,0.147,0.092,4.12530708417057e-12,0,"SNX20"
3.37438707945462e-16,0.572958186917758,0.186,0.124,6.66036521742752e-12,0,"ZNF276"
5.29664140465111e-16,0.702825019218515,0.155,0.099,1.04545108045004e-11,0,"USP20"
