"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
1.88623791527601e-43,0.575119903474285,0.534,0.273,3.72305639717178e-39,15,"CD8B"
3.27769755462892e-43,1.1937408208265,0.446,0.184,6.46951943332655e-39,15,"SDF4"
3.64713836513911e-43,0.860622290992483,0.361,0.144,7.19872170511157e-39,15,"LAG3"
3.81582870331606e-43,0.675300649452802,0.794,0.503,7.53168269460525e-39,15,"REL"
4.42360637363161e-43,0.71081578844354,0.28,0.09,8.73131426027408e-39,15,"XCL1"
4.74972388507128e-43,0.697194492374002,0.634,0.344,9.37500500435369e-39,15,"LITAF"
9.83289497787397e-43,0.324300306605926,0.987,0.828,1.94081681073276e-38,15,"FOS"
1.03573805657646e-42,1.08266894370827,0.473,0.207,2.04433977607061e-38,15,"PYURF"
1.15743894268723e-42,0.935462319403989,0.564,0.278,2.28455298507606e-38,15,"TBC1D10C"
3.04603621416148e-42,0.799968562981511,0.724,0.43,6.01226627951193e-38,15,"CKLF"
6.66635074461531e-42,2.59682181243275,0.157,0.023,1.31580430997217e-37,15,"DTNB"
7.17012175121007e-42,1.32840260119862,0.355,0.127,1.41523863125384e-37,15,"TMEM160"
7.17117160118154e-42,0.53392706301097,0.772,0.485,1.41544585064121e-37,15,"SAMSN1"
8.698521113996e-42,1.2176488211224,0.355,0.131,1.71691409748053e-37,15,"STUB1"
9.25798618981847e-42,1.12196228112291,0.477,0.211,1.82734131414637e-37,15,"LPIN1"
9.58773777593263e-42,1.79355981937493,0.254,0.067,1.89242768221358e-37,15,"FAM173A"
1.74756818521444e-41,1.32870395445712,0.392,0.149,3.44935008397627e-37,15,"DUSP5"
2.32771388193828e-41,0.653841457044514,0.659,0.375,4.59444166016978e-37,15,"ARGLU1"
4.08418086225871e-41,0.516995840410199,0.726,0.445,8.06135618592625e-37,15,"RUNX3"
4.16885052914262e-41,0.883738209161624,0.527,0.256,8.2284771744217e-37,15,"HMHA1"
7.11905562613921e-41,2.66124975512877,0.151,0.022,1.40515919948736e-36,15,"CHN2"
7.57687527614282e-41,0.743989772883055,0.58,0.306,1.49552364200507e-36,15,"SRRM2"
7.76230121889785e-41,1.16044681364152,0.385,0.151,1.53212301458606e-36,15,"CMTM3"
1.10919607228996e-40,0.920259305906418,0.436,0.191,2.18933120748593e-36,15,"ANKRD28"
1.44367809102235e-40,1.20894546169356,0.398,0.158,2.84953181605991e-36,15,"COX5A"
1.83869545738827e-40,2.70932409638468,0.16,0.025,3.62921709379296e-36,15,"RP1-187B23.1"
3.0123563268771e-40,1.24168955489139,0.433,0.18,5.94578891799001e-36,15,"MBP"
1.13396772067495e-39,1.46224198021284,0.254,0.074,2.23822548706822e-35,15,"ACP5"
1.50862179320217e-39,1.42580929280726,0.271,0.083,2.97771769542244e-35,15,"ZBTB7A"
1.6650875714135e-39,1.03964993354941,0.442,0.195,3.28654984845597e-35,15,"STOM"
1.71111031939724e-39,1.21885677754973,0.297,0.102,3.37738954842628e-35,15,"PDE4A"
1.73627080074202e-39,0.842067209460339,0.567,0.294,3.42705130650461e-35,15,"CD164"
2.00777808943956e-39,0.721571821088304,0.781,0.502,3.9629523929358e-35,15,"SEPT7"
2.23949740331942e-39,1.65668576203886,0.25,0.07,4.42031997467187e-35,15,"ADAM8"
2.26360385033541e-39,0.801573062389847,0.554,0.287,4.46790127979203e-35,15,"SEPT1"
2.41433469869445e-39,0.859458528326614,0.527,0.262,4.76541382828311e-35,15,"DEK"
2.85334790565293e-39,0.751852989752465,0.552,0.286,5.63193809617776e-35,15,"IKZF3"
4.67603517419451e-39,1.49852600996379,0.269,0.081,9.22955822682513e-35,15,"DONSON"
8.04187768796659e-39,0.806561016498595,0.667,0.383,1.58730581805085e-34,15,"GNAS"
1.07026175306159e-38,0.957744060680447,0.506,0.245,2.11248264819297e-34,15,"RHOC"
1.08063643705179e-38,1.80257578839013,0.188,0.041,2.13296019945283e-34,15,"CD9"
1.18098912138618e-38,3.0138476744858,0.12,0.013,2.33103632779203e-34,15,"FGF9"
1.44232558693702e-38,0.643264380820766,0.582,0.32,2.84686224349629e-34,15,"GPR171"
