"gene_id","logFC","AveExpr","t","P.Value","adj.P.Val","B","SYMBOL","ENTREZID","GENENAME","significance"
"ENSG00000259974",0.230957576923976,4.73581034866364,3.28314454098551,0.00113865301217395,0.00611293753016345,-1.50646157608049,"LINC00261","140828","long intergenic non-protein coding RNA 261","Not Significant"
"ENSG00000069956",0.194533865148593,7.70458285170294,3.28278508180742,0.00114005856603608,0.00611891720128114,-1.51799913848437,"MAPK6","5597","mitogen-activated protein kinase 6","Not Significant"
"ENSG00000168268",0.231722213057768,2.37928858498119,3.28256362574988,0.00114092530332766,0.00612200261890449,-1.24710981690473,"NT5DC2","64943","5'-nucleotidase domain containing 2","Not Significant"
"ENSG00000056097",0.0753430074718011,7.10545591825601,3.28138078501725,0.00114556509099832,0.00614514382136801,-1.55085221509084,"ZFR","51663","zinc finger RNA binding protein","Not Significant"
"ENSG00000228175",0.237048189667266,-0.10961030917213,3.28131492246861,0.00114582395639429,0.00614514382136801,-1.06007517268095,NA,NA,NA,"Not Significant"
"ENSG00000125869",0.347965938836106,-0.174321089466591,3.2811624695127,0.00114642336412098,0.00614678682577649,-1.04709466674633,"LAMP5","24141","lysosome associated membrane protein 5","Not Significant"
"ENSG00000078401",-0.291704518131923,3.92589531421287,-3.28044108522593,0.0011492636213135,0.00615729360333348,-1.46948141437533,"EDN1","1906","endothelin 1","Not Significant"
"ENSG00000125656",0.138081185151818,4.46549263112949,3.28054574363314,0.00114885115207967,0.00615729360333348,-1.4971830258781,"CLPP","8192","caseinolytic mitochondrial matrix peptidase proteolytic subunit","Not Significant"
"ENSG00000136051",-0.100347340813193,7.410072105359,-3.2804868506171,0.00114908323842154,0.00615729360333348,-1.53954106330837,"WASHC4","23325","WASH complex subunit 4","Not Significant"
"ENSG00000112742",0.192438619830019,3.94754233105781,3.2799140888606,0.00115134265690277,0.00616528267259015,-1.42927885060713,"TTK","7272","TTK protein kinase","Not Significant"
"ENSG00000196517",0.334767696194609,3.50145007291372,3.27997449647973,0.0011511041677555,0.00616528267259015,-1.39424556667625,"SLC6A9","6536","solute carrier family 6 member 9","Not Significant"
