"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","log2err","ONTOLOGY"
"GO:0030667","secretory granule membrane",288,0.388002849388073,1.9581863217193,5.1526717443299e-09,1.51607457092784e-07,7.14855525160648e-08,4641,"tags=45%, list=26%, signal=34%","5284/1755/10970/55/5879/3106/9761/2215/2357/2358/10312/2683/6836/3579/2212/1650/81619/9545/84658/4680/3577/23250/3107/94103/5269/8826/57020/10959/2207/54918/160364/222487/10972/5329/25837/387/8876/79888/684/10890/1315/1604/1535/5066/10288/84061/7133/5870/11025/1179/762/3382/154664/9342/63910/634/1534/976/84418/158747/4973/57126/116843/5724/55362/3685/9321/6556/5328/1084/3136/2171/5912/307/23200/3710/6813/51143/8560/4257/28956/64386/8655/8372/391/1729/5878/2040/55754/7097/80331/719/967/11314/8618/22918/10788/7879/5099/966/23385/64924/100289017/929/127829/53916/11031/3690/5874/5908/161/7305/10043/3482/9749/83858/310/5799/6861/55004/3674/945/134957/5547/57826/340061/5869/10326/6809/53831",0.761460801445585,"CC"
"GO:0042101","T cell receptor complex",80,-0.436609157067633,-1.95668560059236,3.71821772567065e-05,0.000319599613498657,0.000150696775692835,7375,"tags=76%, list=41%, signal=45%","916/28625/28691/28518/28606/6984/28622/28660/28638/28662/28653/28567/28619/28684/28655/50852/6966/28595/28671/28670/28677/28620/923/28617/28626/28683/28682/28666/28689/28601/28688/28672/28664/6977/54518/28663/6967/28564/8631/28609/6983/28643/28611/28568/7535/28581/28623/28669/28673/28661/28610/28557/6982/6978/28667/28680/28586/6973/6976/6974/926",0.557332238758646,"CC"
"GO:0044233","mitochondria-associated endoplasmic reticulum membrane contact site",27,0.567320571135526,1.92261923987216,0.00143027013174776,0.00729437767191359,0.00343942592361052,3846,"tags=48%, list=22%, signal=38%","2182/55210/9451/55014/10452/821/10768/23155/51075/118987/81542/84947/57190",0.45505986738723,"CC"
"GO:0000228","nuclear chromosome",212,0.390864886459565,1.91475119841661,1.11151623078845e-06,1.57464799361697e-05,7.42473912567064e-06,4810,"tags=44%, list=27%, signal=32%","10714/23212/5347/332/7153/10051/3619/3065/8914/55388/9918/23397/7283/10498/23649/9837/3066/1104/23063/11169/84296/64151/4175/54892/81611/4998/89765/4751/3192/7150/55193/672/23594/64785/50485/9031/8607/54962/5928/1111/10592/3014/10856/5885/8243/54107/675/27339/988/5888/11177/160728/4173/4172/146956/6839/4171/84365/1869/63979/29844/641/10286/5425/3550/56159/51659/9985/6596/64426/11073/142/4176/5111/65083/5427/64431/1660/57662/84464/5883/10524/54617/3725/54984/3364/10933/9555/8467/8805/100507650/58516/84312",0.643551836150722,"CC"
"GO:0043194","axon initial segment",19,-0.586704823796919,-1.87327119930312,0.00402608439665522,0.0165121207785942,0.00778575209758587,5421,"tags=63%, list=30%, signal=44%","57731/89796/1181/4897/1261/6327/9211/23114/288/6900/57554/4133",0.407017918923954,"CC"
"GO:0032993","protein-DNA complex",155,0.40297390460862,1.871874982288,4.252475074614e-06,4.92900520012077e-05,2.32411166865988e-05,4665,"tags=44%, list=26%, signal=33%","7052/29980/10714/1499/23649/9837/2967/1058/84296/4175/7004/8341/7520/7150/8318/3015/64785/2957/50485/8607/7013/5591/3021/3014/10856/27339/988/5888/3005/160728/4173/6667/92815/3662/4869/4172/8363/4171/5469/9400/221656/2623/4778/10286/5425/51659/9643/2353/142/4176/128312/5111/25913/85236/1388/8329/2959/3009/3728/2547/3007/6881/55766/3017/10933/9555/440689/3008",0.610526878385931,"CC"
"GO:0030867","rough endoplasmic reticulum membrane",28,0.56104033212398,1.86935511484196,0.00169901907134594,0.0084399323998678,0.00397957489936361,2066,"tags=43%, list=12%, signal=38%","80149/29927/6748/7317/58477/23204/57003/29880/10952/5277/27346/6734",0.45505986738723,"CC"
"GO:0070993","cytosolic translation preinitiation complex",18,0.610171928284232,1.8640286082424,0.00399639502924756,0.0165121207785942,0.00778575209758587,5027,"tags=61%, list=28%, signal=44%","8661/8662/54505/8668/8669/1965/8667/8663/10480/27335/10289",0.407017918923954,"CC"
"GO:0090443","FAR/SIN/STRIPAK complex",17,0.625017800154405,1.85934700654687,0.003143205895564,0.0136467776515927,0.00643469298407237,4105,"tags=65%, list=23%, signal=50%","29966/51765/7871/8428/57464/55917/25843/6801/5518/5515/11235",0.431707695803346,"CC"
"GO:0061695","transferase complex, transferring phosphorus-containing groups",238,0.376840836113928,1.85797337755412,7.74372761423473e-07,1.18479032497791e-05,5.58649242067959e-06,4423,"tags=39%, list=25%, signal=29%","595/645121/894/57169/8503/54619/5255/898/899/2962/10714/10309/4217/891/5573/7046/9133/129685/23649/6884/1017/5576/2967/25885/5257/2068/1164/890/2960/90/5214/54623/24138/983/23168/2957/123169/896/2081/6873/2958/11128/10926/5925/5127/55703/27097/5433/892/199857/22938/54107/10459/8678/29925/4172/5431/10623/5613/221830/5571/27297/9776/5441/29982/5129/10474/5425/10622/135644/1459/51341/29108/5111/5562/5427/29926/984/5631/65061/2959/84172/1020/5566/5213/51755/9533/3667/6881/1147/9646/130399",0.659444398037935,"CC"
