"gene_id","logFC","AveExpr","t","P.Value","adj.P.Val","B","SYMBOL","ENTREZID","GENENAME","significance"
"ENSG00000123349",-0.139315529071653,7.06707810750879,-3.45894943100158,0.000591228232278495,0.00212916201098678,-1.2831113843862,"PFDN5","5204","prefoldin subunit 5","Not Significant"
"ENSG00000180011",-0.0997117008095172,6.09627586390692,-3.45872349520873,0.000591712042209384,0.00213055327751702,-1.30670059772087,"PTGR3","284273","prostaglandin reductase 3","Not Significant"
"ENSG00000139354",0.135014578866341,4.24501074713352,3.45781161581207,0.000593668464191285,0.00213724558612497,-1.2052285225469,"GAS2L3","283431","growth arrest specific 2 like 3","Not Significant"
"ENSG00000196235",0.116066855516192,6.19242328051378,3.45774564099647,0.000593810246117433,0.00213740394254654,-1.30999081013045,"SUPT5H","6829","SPT5 homolog, DSIF elongation factor subunit","Not Significant"
"ENSG00000146151",-0.287050458170449,0.720783177222502,-3.45705873624094,0.000595288305295321,0.00214237134868015,-0.816833243486226,"HMGCLL1","54511","3-hydroxy-3-methylglutaryl-CoA lyase like 1","Not Significant"
"ENSG00000163463",0.105647810278362,5.11159396630481,3.45656347580068,0.000596356121109471,0.00214550771736109,-1.28737521519867,"KRTCAP2","200185","keratinocyte associated protein 2","Not Significant"
"ENSG00000228223",0.117190123098689,4.19134929756549,3.45656837749189,0.00059634554396621,0.00214550771736109,-1.19684620842689,"HCG11","493812","HLA complex group 11","Not Significant"
"ENSG00000132170",-0.223526101442348,5.03317214144706,-3.45642411620071,0.000596666005008558,0.0021462692899057,-1.29070328859428,"PPARG","5468","peroxisome proliferator activated receptor gamma","Not Significant"
"ENSG00000076067",0.166864693990089,3.21116160605134,3.45551219202165,0.000598628692056769,0.00215297493723758,-1.06592558495923,"RBMS2","5939","RNA binding motif single stranded interacting protein 2","Not Significant"
"ENSG00000204934",-0.261270289442771,0.38305013000636,-3.45519926892324,0.000599306701216444,0.00215505877949763,-0.773537472113947,"ATP6V0E2-AS1","401431","ATP6V0E2 antisense RNA 1","Not Significant"
"ENSG00000177628",0.227600560711641,4.48273752347308,3.45416947455572,0.00060155136558572,0.00216277457579232,-1.24812995865464,"GBA1","2629","glucosylceramidase beta 1","Not Significant"
"ENSG00000213123",-0.217948151903019,-0.191980625069616,-3.45375994083337,0.000602434531011609,0.00216559360358384,-0.715027095818617,"DYNLT2B","255758","dynein light chain Tctex-type 2B","Not Significant"
"ENSG00000069011",0.313482097604255,2.12988845064018,3.4527844174512,0.000604567496009262,0.00217290366597245,-0.932881661481352,"PITX1","5307","paired like homeodomain 1","Not Significant"
"ENSG00000115602",0.357260461069614,2.63850114177034,3.45244417197516,0.000605316366272578,0.00217452243610346,-0.993021104141385,"IL1RL1","9173","interleukin 1 receptor like 1","Not Significant"
"ENSG00000144746",0.128483935793135,7.05797812766427,3.45250523753198,0.000605173576828873,0.00217452243610346,-1.30992426317923,"ARL6IP5","10550","ARF like GTPase 6 interacting protein 5","Not Significant"
"ENSG00000225190",0.149597383378986,4.59039073801284,3.45247817672523,0.000605232779066753,0.00217452243610346,-1.26146862918334,"PLEKHM1","9842","pleckstrin homology and RUN domain containing M1","Not Significant"
"ENSG00000140543",-0.0874900201063626,2.87234908325326,-3.45171216412506,0.000606910866485905,0.00217989217714313,-1.05417057444581,"DET1","55070","DET1 partner of COP1 E3 ubiquitin ligase","Not Significant"
"ENSG00000158445",-0.383943871711212,-1.1651372976952,-3.4516502629458,0.000607046661591587,0.0021800216621337,-0.642023570794905,"KCNB1","3745","potassium voltage-gated channel subfamily B member 1","Not Significant"
"ENSG00000267430",-0.20268304018294,0.257966536843746,-3.45124764935945,0.000607930583675124,0.00218283733149392,-0.769757300679655,"LOC100422317","100422317","proteasome 26S subunit, ATPase 5 pseudogene","Not Significant"
"ENSG00000240505",-0.552357167095161,0.832942496936676,-3.4511311430459,0.000608204629956891,0.00218346261372172,-0.842438738727199,"TNFRSF13B","23495","TNF receptor superfamily member 13B","Not Significant"
"ENSG00000162928",0.10950474323355,5.6637241053356,3.4509669004006,0.00060854766774115,0.00218433533029243,-1.32913508839493,"PEX13","5194","peroxisomal biogenesis factor 13","Not Significant"
"ENSG00000266910",-0.215862553324271,-0.666582788876568,-3.44995942977961,0.000610766898051523,0.00219194110407456,-0.675781469472592,NA,NA,NA,"Not Significant"
"ENSG00000128016",0.282339111242828,5.12104863052715,3.44835081227064,0.000614335269354881,0.00220438542883275,-1.31731758271579,"ZFP36","7538","ZFP36 zinc finger CCCH-type","Not Significant"
"ENSG00000215908",-0.150272835358949,5.19175667677685,-3.44811430507344,0.000614850892189437,0.00220587345694228,-1.32863404270248,NA,NA,NA,"Not Significant"
