"sample","group","reason_median_logCPM","reason_low_within_group_correlation","sample_weight","avg_within_group_cor"
"MSCCR_reGRID_1625_Biopsy_2449","CD",FALSE,FALSE,0.930917827214725,0.941688549685783
"MSCCR_reGRID_163_Biopsy_317","Control",FALSE,FALSE,0.767461821456928,0.932337048853929
"MSCCR_reGRID_1641_Biopsy_2468","CD",FALSE,FALSE,0.434675055674089,0.906196699149389
"MSCCR_reGRID_1643_Biopsy_2470","CD",FALSE,FALSE,0.567108712337328,0.906141573603807
"MSCCR_reGRID_165_Biopsy_320","CD",FALSE,FALSE,0.402218465665181,0.915569964983281
"MSCCR_reGRID_174_Biopsy_331","CD",FALSE,FALSE,0.890785813221906,0.928207593671029
"MSCCR_reGRID_177_Biopsy_339","CD",FALSE,FALSE,2.01645154394618,0.946009549626183
"MSCCR_reGRID_182_Biopsy_347","CD",FALSE,FALSE,2.38283449848044,0.947860336052625
"MSCCR_reGRID_184_Biopsy_351","CD",FALSE,FALSE,1.80013797665115,0.943187486490166
"MSCCR_reGRID_185_Biopsy_353","CD",FALSE,FALSE,1.89252045331137,0.947969796663703
"MSCCR_reGRID_187_Biopsy_355","CD",FALSE,FALSE,1.98222473064562,0.9429053645798
"MSCCR_reGRID_193_Biopsy_370","CD",FALSE,FALSE,1.00464402339905,0.940962785170373
"MSCCR_reGRID_196_Biopsy_376","CD",FALSE,FALSE,0.496466540932981,0.933407311496516
"MSCCR_reGRID_20_Biopsy_46","CD",FALSE,FALSE,1.84344689092956,0.947103207956751
"MSCCR_reGRID_205_Biopsy_400","CD",FALSE,FALSE,0.593793771878809,0.913114529913776
"MSCCR_reGRID_212_Biopsy_416","CD",FALSE,FALSE,0.709629490779036,0.933273459472376
"MSCCR_reGRID_213_Biopsy_419","CD",FALSE,FALSE,1.33213439938438,0.939666787953025
"MSCCR_reGRID_214_Biopsy_422","CD",FALSE,FALSE,0.608226769114721,0.910900418200264
"MSCCR_reGRID_216_Biopsy_426","CD",FALSE,FALSE,0.884240301585765,0.941286464565124
"MSCCR_reGRID_235_Biopsy_463","CD",FALSE,FALSE,2.38174290074497,0.948437973908688
"MSCCR_reGRID_242_Biopsy_474","CD",FALSE,FALSE,1.37473963624454,0.940544143497293
"MSCCR_reGRID_248_Biopsy_486","CD",FALSE,FALSE,1.24372122779999,0.939190489561048
"MSCCR_reGRID_25_Biopsy_54","CD",FALSE,TRUE,0.425172167539127,0.885959232073719
"MSCCR_reGRID_250_Biopsy_488","CD",FALSE,FALSE,1.15317601387642,0.939398682091963
"MSCCR_reGRID_251_Biopsy_491","CD",FALSE,FALSE,2.03109150828395,0.942174948465175
"MSCCR_reGRID_262_Biopsy_515","CD",FALSE,FALSE,1.21826209246292,0.933446864003944
"MSCCR_reGRID_267_Biopsy_525","CD",FALSE,FALSE,1.57597158747509,0.943302758095869
"MSCCR_reGRID_27_Biopsy_57","CD",FALSE,FALSE,1.19107078713642,0.943423671081111
