"cluster","cellAtlas","monacoImmune","Freq"
"5","B_cell","Basophils",0
"6","B_cell","Basophils",0
"7","B_cell","Basophils",0
"8","B_cell","Basophils",0
"9","B_cell","Basophils",0
"10","B_cell","Basophils",0
"11","B_cell","Basophils",0
"12","B_cell","Basophils",0
"13","B_cell","Basophils",0
"0","BM","Basophils",0
"1","BM","Basophils",0
"2","BM","Basophils",0
"3","BM","Basophils",0
"4","BM","Basophils",0
"5","BM","Basophils",0
"6","BM","Basophils",0
"7","BM","Basophils",0
"8","BM","Basophils",0
"9","BM","Basophils",0
"10","BM","Basophils",0
"11","BM","Basophils",0
"12","BM","Basophils",0
"13","BM","Basophils",0
"0","BM & Prog.","Basophils",0
"1","BM & Prog.","Basophils",0
"2","BM & Prog.","Basophils",0
"3","BM & Prog.","Basophils",0
"4","BM & Prog.","Basophils",0
"5","BM & Prog.","Basophils",0
"6","BM & Prog.","Basophils",0
"7","BM & Prog.","Basophils",0
"8","BM & Prog.","Basophils",0
"9","BM & Prog.","Basophils",0
"10","BM & Prog.","Basophils",0
"11","BM & Prog.","Basophils",0
"12","BM & Prog.","Basophils",0
"13","BM & Prog.","Basophils",0
"0","Chondrocytes","Basophils",0
"1","Chondrocytes","Basophils",0
"2","Chondrocytes","Basophils",0
"3","Chondrocytes","Basophils",0
"4","Chondrocytes","Basophils",0
"5","Chondrocytes","Basophils",0
"6","Chondrocytes","Basophils",0
"7","Chondrocytes","Basophils",0
"8","Chondrocytes","Basophils",0
"9","Chondrocytes","Basophils",0
"10","Chondrocytes","Basophils",0
"11","Chondrocytes","Basophils",0
"12","Chondrocytes","Basophils",0
"13","Chondrocytes","Basophils",0
"0","DC","Basophils",0
"1","DC","Basophils",0
"2","DC","Basophils",0
"3","DC","Basophils",0
"4","DC","Basophils",0
"5","DC","Basophils",0
"6","DC","Basophils",0
"7","DC","Basophils",0
"8","DC","Basophils",0
"9","DC","Basophils",0
"10","DC","Basophils",0
"11","DC","Basophils",0
"12","DC","Basophils",0
"13","DC","Basophils",0
"0","Endothelial_cells","Basophils",0
"1","Endothelial_cells","Basophils",0
"2","Endothelial_cells","Basophils",0
"3","Endothelial_cells","Basophils",0
"4","Endothelial_cells","Basophils",0
"5","Endothelial_cells","Basophils",0
"6","Endothelial_cells","Basophils",0
"7","Endothelial_cells","Basophils",0
"8","Endothelial_cells","Basophils",0
"9","Endothelial_cells","Basophils",0
"10","Endothelial_cells","Basophils",0
"11","Endothelial_cells","Basophils",0
"12","Endothelial_cells","Basophils",0
"13","Endothelial_cells","Basophils",2
"0","Epithelial_cells","Basophils",0
"1","Epithelial_cells","Basophils",0
"2","Epithelial_cells","Basophils",0
"3","Epithelial_cells","Basophils",0
"4","Epithelial_cells","Basophils",0
"5","Epithelial_cells","Basophils",0
"6","Epithelial_cells","Basophils",0
"7","Epithelial_cells","Basophils",0
"8","Epithelial_cells","Basophils",0
"9","Epithelial_cells","Basophils",0
"10","Epithelial_cells","Basophils",0
"11","Epithelial_cells","Basophils",0
"12","Epithelial_cells","Basophils",0
"13","Epithelial_cells","Basophils",0
"0","Erythroblast","Basophils",0
"1","Erythroblast","Basophils",0
"2","Erythroblast","Basophils",0
"3","Erythroblast","Basophils",0
"4","Erythroblast","Basophils",0
"5","Erythroblast","Basophils",0
"6","Erythroblast","Basophils",0
"7","Erythroblast","Basophils",0
"8","Erythroblast","Basophils",0
"9","Erythroblast","Basophils",0
"10","Erythroblast","Basophils",0
"11","Erythroblast","Basophils",0
"12","Erythroblast","Basophils",0
"13","Erythroblast","Basophils",0
"0","Fibroblasts","Basophils",0
"1","Fibroblasts","Basophils",0
"2","Fibroblasts","Basophils",0
"3","Fibroblasts","Basophils",0
"4","Fibroblasts","Basophils",0
"5","Fibroblasts","Basophils",0
"6","Fibroblasts","Basophils",0
"7","Fibroblasts","Basophils",0
"8","Fibroblasts","Basophils",0
"9","Fibroblasts","Basophils",0
"10","Fibroblasts","Basophils",0
"11","Fibroblasts","Basophils",0
"12","Fibroblasts","Basophils",0
"13","Fibroblasts","Basophils",0
"0","Hepatocytes","Basophils",0
"1","Hepatocytes","Basophils",0
"2","Hepatocytes","Basophils",0
"3","Hepatocytes","Basophils",0
"4","Hepatocytes","Basophils",0
"5","Hepatocytes","Basophils",0
"6","Hepatocytes","Basophils",0
"7","Hepatocytes","Basophils",0
"8","Hepatocytes","Basophils",0
"9","Hepatocytes","Basophils",0
"10","Hepatocytes","Basophils",0
"11","Hepatocytes","Basophils",0
"12","Hepatocytes","Basophils",0
"13","Hepatocytes","Basophils",0
"0","HSC_-G-CSF","Basophils",0
"1","HSC_-G-CSF","Basophils",0
"2","HSC_-G-CSF","Basophils",0
"3","HSC_-G-CSF","Basophils",0
"4","HSC_-G-CSF","Basophils",0
"5","HSC_-G-CSF","Basophils",0
"6","HSC_-G-CSF","Basophils",0
"7","HSC_-G-CSF","Basophils",0
"8","HSC_-G-CSF","Basophils",0
"9","HSC_-G-CSF","Basophils",0
"10","HSC_-G-CSF","Basophils",0
"11","HSC_-G-CSF","Basophils",0
"12","HSC_-G-CSF","Basophils",0
"13","HSC_-G-CSF","Basophils",0
"0","Macrophage","Basophils",0
"1","Macrophage","Basophils",0
"2","Macrophage","Basophils",0
"3","Macrophage","Basophils",0
"4","Macrophage","Basophils",0
"5","Macrophage","Basophils",0
"6","Macrophage","Basophils",0
"7","Macrophage","Basophils",0
"8","Macrophage","Basophils",0
"9","Macrophage","Basophils",0
"10","Macrophage","Basophils",0
"11","Macrophage","Basophils",0
"12","Macrophage","Basophils",0
"13","Macrophage","Basophils",0
"0","MEP","Basophils",0
"1","MEP","Basophils",0
"2","MEP","Basophils",0
"3","MEP","Basophils",0
"4","MEP","Basophils",0
"5","MEP","Basophils",0
"6","MEP","Basophils",0
"7","MEP","Basophils",0
"8","MEP","Basophils",0
"9","MEP","Basophils",0
"10","MEP","Basophils",0
"11","MEP","Basophils",0
"12","MEP","Basophils",0
"13","MEP","Basophils",0
"0","Monocyte","Basophils",0
"1","Monocyte","Basophils",0
"2","Monocyte","Basophils",0
"3","Monocyte","Basophils",0
"4","Monocyte","Basophils",0
"5","Monocyte","Basophils",0
"6","Monocyte","Basophils",0
"7","Monocyte","Basophils",0
"8","Monocyte","Basophils",0
"9","Monocyte","Basophils",0
"10","Monocyte","Basophils",0
"11","Monocyte","Basophils",0
"12","Monocyte","Basophils",0
"13","Monocyte","Basophils",0
"0","NK_cell","Basophils",0
"1","NK_cell","Basophils",0
"2","NK_cell","Basophils",0
"3","NK_cell","Basophils",0
"4","NK_cell","Basophils",0
"5","NK_cell","Basophils",0
"6","NK_cell","Basophils",0
"7","NK_cell","Basophils",0
"8","NK_cell","Basophils",0
"9","NK_cell","Basophils",0
"10","NK_cell","Basophils",0
"11","NK_cell","Basophils",0
"12","NK_cell","Basophils",0
"13","NK_cell","Basophils",0
"0","Pre-B_cell_CD34-","Basophils",0
"1","Pre-B_cell_CD34-","Basophils",0
"2","Pre-B_cell_CD34-","Basophils",0
"3","Pre-B_cell_CD34-","Basophils",0
"4","Pre-B_cell_CD34-","Basophils",0
"5","Pre-B_cell_CD34-","Basophils",0
"6","Pre-B_cell_CD34-","Basophils",0
"7","Pre-B_cell_CD34-","Basophils",1
"8","Pre-B_cell_CD34-","Basophils",0
"9","Pre-B_cell_CD34-","Basophils",0
"10","Pre-B_cell_CD34-","Basophils",0
"11","Pre-B_cell_CD34-","Basophils",0
"12","Pre-B_cell_CD34-","Basophils",0
"13","Pre-B_cell_CD34-","Basophils",0
"0","Pro-B_cell_CD34+","Basophils",0
"1","Pro-B_cell_CD34+","Basophils",0
"2","Pro-B_cell_CD34+","Basophils",0
"3","Pro-B_cell_CD34+","Basophils",0
"4","Pro-B_cell_CD34+","Basophils",0
"5","Pro-B_cell_CD34+","Basophils",0
"6","Pro-B_cell_CD34+","Basophils",0
"7","Pro-B_cell_CD34+","Basophils",0
"8","Pro-B_cell_CD34+","Basophils",0
"9","Pro-B_cell_CD34+","Basophils",0
"10","Pro-B_cell_CD34+","Basophils",0
"11","Pro-B_cell_CD34+","Basophils",0
"12","Pro-B_cell_CD34+","Basophils",0
"13","Pro-B_cell_CD34+","Basophils",0
"0","T_cells","Basophils",0
"1","T_cells","Basophils",0
"2","T_cells","Basophils",0
"3","T_cells","Basophils",0
"4","T_cells","Basophils",0
"5","T_cells","Basophils",0
"6","T_cells","Basophils",0
"7","T_cells","Basophils",0
"8","T_cells","Basophils",0
"9","T_cells","Basophils",0
"10","T_cells","Basophils",0
"11","T_cells","Basophils",0
"12","T_cells","Basophils",0
"13","T_cells","Basophils",0
"0","B_cell","CD4+ T cells",0
"1","B_cell","CD4+ T cells",0
"2","B_cell","CD4+ T cells",0
"3","B_cell","CD4+ T cells",0
"4","B_cell","CD4+ T cells",0
"5","B_cell","CD4+ T cells",0
"6","B_cell","CD4+ T cells",0
"7","B_cell","CD4+ T cells",0
"8","B_cell","CD4+ T cells",0
"9","B_cell","CD4+ T cells",0
"10","B_cell","CD4+ T cells",0
"11","B_cell","CD4+ T cells",0
"12","B_cell","CD4+ T cells",0
"13","B_cell","CD4+ T cells",0
"0","BM","CD4+ T cells",0
"1","BM","CD4+ T cells",0
"2","BM","CD4+ T cells",0
"3","BM","CD4+ T cells",0
"4","BM","CD4+ T cells",0
"5","BM","CD4+ T cells",0
"6","BM","CD4+ T cells",0
"7","BM","CD4+ T cells",0
"8","BM","CD4+ T cells",0
"9","BM","CD4+ T cells",0
"10","BM","CD4+ T cells",0
"11","BM","CD4+ T cells",0
"12","BM","CD4+ T cells",0
"13","BM","CD4+ T cells",0
"0","BM & Prog.","CD4+ T cells",0
"1","BM & Prog.","CD4+ T cells",0
"2","BM & Prog.","CD4+ T cells",0
"3","BM & Prog.","CD4+ T cells",0
"4","BM & Prog.","CD4+ T cells",0
"5","BM & Prog.","CD4+ T cells",0
"6","BM & Prog.","CD4+ T cells",0
"7","BM & Prog.","CD4+ T cells",0
"8","BM & Prog.","CD4+ T cells",0
"9","BM & Prog.","CD4+ T cells",0
"10","BM & Prog.","CD4+ T cells",0
"11","BM & Prog.","CD4+ T cells",0
"12","BM & Prog.","CD4+ T cells",0
"13","BM & Prog.","CD4+ T cells",0
"0","Chondrocytes","CD4+ T cells",0
"1","Chondrocytes","CD4+ T cells",0
"2","Chondrocytes","CD4+ T cells",0
"3","Chondrocytes","CD4+ T cells",0
"4","Chondrocytes","CD4+ T cells",0
"5","Chondrocytes","CD4+ T cells",0
"6","Chondrocytes","CD4+ T cells",0
"7","Chondrocytes","CD4+ T cells",0
"8","Chondrocytes","CD4+ T cells",0
"9","Chondrocytes","CD4+ T cells",0
"10","Chondrocytes","CD4+ T cells",0
"11","Chondrocytes","CD4+ T cells",0
"12","Chondrocytes","CD4+ T cells",0
"13","Chondrocytes","CD4+ T cells",0
"0","DC","CD4+ T cells",0
"1","DC","CD4+ T cells",0
"2","DC","CD4+ T cells",0
"3","DC","CD4+ T cells",0
"4","DC","CD4+ T cells",0
"5","DC","CD4+ T cells",0
"6","DC","CD4+ T cells",0
"7","DC","CD4+ T cells",0
"8","DC","CD4+ T cells",0
"9","DC","CD4+ T cells",0
"10","DC","CD4+ T cells",0
"11","DC","CD4+ T cells",0
"12","DC","CD4+ T cells",0
"13","DC","CD4+ T cells",0
"0","Endothelial_cells","CD4+ T cells",0
"1","Endothelial_cells","CD4+ T cells",0
"2","Endothelial_cells","CD4+ T cells",0
"3","Endothelial_cells","CD4+ T cells",0
"4","Endothelial_cells","CD4+ T cells",0
"5","Endothelial_cells","CD4+ T cells",0
"6","Endothelial_cells","CD4+ T cells",0
"7","Endothelial_cells","CD4+ T cells",0
"8","Endothelial_cells","CD4+ T cells",0
"9","Endothelial_cells","CD4+ T cells",0
"10","Endothelial_cells","CD4+ T cells",0
"11","Endothelial_cells","CD4+ T cells",0
"12","Endothelial_cells","CD4+ T cells",0
"13","Endothelial_cells","CD4+ T cells",0
"0","Epithelial_cells","CD4+ T cells",0
"1","Epithelial_cells","CD4+ T cells",0
"2","Epithelial_cells","CD4+ T cells",0
"3","Epithelial_cells","CD4+ T cells",0
"4","Epithelial_cells","CD4+ T cells",0
"5","Epithelial_cells","CD4+ T cells",0
"6","Epithelial_cells","CD4+ T cells",0
"7","Epithelial_cells","CD4+ T cells",0
"8","Epithelial_cells","CD4+ T cells",0
"9","Epithelial_cells","CD4+ T cells",0
"10","Epithelial_cells","CD4+ T cells",0
"11","Epithelial_cells","CD4+ T cells",0
"12","Epithelial_cells","CD4+ T cells",0
"13","Epithelial_cells","CD4+ T cells",0
"0","Erythroblast","CD4+ T cells",0
"1","Erythroblast","CD4+ T cells",0
"2","Erythroblast","CD4+ T cells",0
"3","Erythroblast","CD4+ T cells",0
"4","Erythroblast","CD4+ T cells",0
"5","Erythroblast","CD4+ T cells",0
"6","Erythroblast","CD4+ T cells",0
"7","Erythroblast","CD4+ T cells",0
"8","Erythroblast","CD4+ T cells",0
"9","Erythroblast","CD4+ T cells",0
"10","Erythroblast","CD4+ T cells",0
"11","Erythroblast","CD4+ T cells",0
"12","Erythroblast","CD4+ T cells",0
"13","Erythroblast","CD4+ T cells",0
"0","Fibroblasts","CD4+ T cells",0
"1","Fibroblasts","CD4+ T cells",0
"2","Fibroblasts","CD4+ T cells",0
"3","Fibroblasts","CD4+ T cells",0
"4","Fibroblasts","CD4+ T cells",0
"5","Fibroblasts","CD4+ T cells",0
"6","Fibroblasts","CD4+ T cells",0
"7","Fibroblasts","CD4+ T cells",0
"8","Fibroblasts","CD4+ T cells",0
"9","Fibroblasts","CD4+ T cells",0
"10","Fibroblasts","CD4+ T cells",0
"11","Fibroblasts","CD4+ T cells",0
"12","Fibroblasts","CD4+ T cells",0
"13","Fibroblasts","CD4+ T cells",0
"0","Hepatocytes","CD4+ T cells",0
"1","Hepatocytes","CD4+ T cells",0
"2","Hepatocytes","CD4+ T cells",0
"3","Hepatocytes","CD4+ T cells",0
"4","Hepatocytes","CD4+ T cells",0
"5","Hepatocytes","CD4+ T cells",0
"6","Hepatocytes","CD4+ T cells",0
"7","Hepatocytes","CD4+ T cells",0
"8","Hepatocytes","CD4+ T cells",0
"9","Hepatocytes","CD4+ T cells",0
